evento_id;fecha_inicio;fecha_fin;Qmax_evento;Qmed_evento;volumen_total;duracion_dias;Qbase;ratio_Qmax_Qbase
1;1973-05-04;1973-05-07;21.02;15.209999999999999;60.839999999999996;4;;
2;1973-05-16;1973-06-14;36.98;11.829666666666666;354.89;30;4.162857142857143;8.883321894303362
3;1973-06-16;1973-06-17;4.68;4.68;9.36;2;4.845714285714285;0.9658018867924528
4;1973-07-01;1973-07-01;1.13;1.13;1.13;1;2.0142857142857147;0.5609929078014183
5;1973-07-16;1973-07-19;2.37;1.8025;7.21;4;0.6657142857142857;3.5600858369098716
6;1973-08-04;1973-08-04;0.45;0.45;0.45;1;0.45428571428571424;0.9905660377358492
7;1973-11-04;1973-11-06;47.24;30.340000000000003;91.02000000000001;3;1.3057142857142858;36.179431072210065
8;1973-12-22;1973-12-23;9.08;8.14;16.28;2;3.142857142857143;2.889090909090909
9;1974-01-05;1974-01-15;32.42;18.10818181818182;199.19;11;3.474285714285714;9.33141447368421
10;1974-02-11;1974-02-13;11.9;10.020000000000001;30.060000000000002;3;5.2;2.2884615384615383
11;1974-02-15;1974-02-16;10.96;9.55;19.1;2;7.568571428571429;1.4480936202340506
12;1974-03-26;1974-03-26;14.18;14.18;14.18;1;4.417142857142857;3.210219922380336
13;1974-05-16;1974-05-16;7.2;7.2;7.2;1;4.137142857142858;1.7403314917127068
14;1974-05-30;1974-06-01;17.6;9.58;28.740000000000002;3;3.68;4.782608695652174
15;1974-06-24;1974-07-08;44.96;10.466000000000001;156.99;15;2.5814285714285714;17.41671278361926
16;1974-11-15;1974-11-15;14.75;14.75;14.75;1;1.0;14.75
17;1975-05-20;1975-05-20;8.5;8.5;8.5;1;3.8942857142857146;2.182685253118122
18;1975-07-01;1975-08-31;2.06;1.2964516129032257;80.38;62;2.0914285714285716;0.9849726775956283
19;1976-07-01;1976-09-30;8.66;1.723695652173913;158.58;92;1.5457142857142858;5.602587800369686
20;1976-10-08;1976-10-09;5.66;5.18;10.36;2;2.14;2.644859813084112
21;1976-10-11;1976-10-11;8.4;8.4;8.4;1;3.1914285714285717;2.632050134288272
22;1976-11-08;1976-11-09;23.0;17.32;34.64;2;3.557142857142857;6.4658634538152615
23;1976-12-31;1976-12-31;23.0;23.0;23.0;1;1.8657142857142859;12.32771822358346
24;1977-01-26;1977-01-26;8.4;8.4;8.4;1;4.3114285714285705;1.9483101391650104
25;1977-02-19;1977-02-20;9.44;9.44;18.88;2;3.328571428571429;2.836051502145922
26;1977-07-01;1977-09-30;2.3;1.876521739130435;172.64000000000001;92;1.6371428571428572;1.4048865619546247
27;1977-10-17;1977-10-17;4.7;4.7;4.7;1;1.26;3.7301587301587302
28;1977-10-22;1977-10-22;16.48;16.48;16.48;1;1.9;8.673684210526316
29;1977-12-07;1977-12-07;21.0;21.0;21.0;1;1.7514285714285716;11.990212071778139
30;1977-12-10;1977-12-12;9.7;8.553333333333333;25.66;3;5.634285714285714;1.721602434077079
31;1977-12-20;1977-12-21;12.92;10.45;20.9;2;4.334285714285714;2.9808833223467373
32;1978-02-19;1978-02-19;7.77;7.77;7.77;1;2.3685714285714283;3.2804583835946928
33;1978-02-23;1978-03-04;17.24;11.18;111.8;10;4.224285714285714;4.081163341224213
34;1978-12-08;1978-12-08;11.0;11.0;11.0;1;1.9342857142857144;5.686853766617429
35;1978-12-11;1979-01-14;29.0;12.411428571428571;434.4;35;4.0685714285714285;7.127808988764045
36;1979-01-19;1979-01-19;12.92;12.92;12.92;1;5.864285714285714;2.203166869671133
37;1979-01-27;1979-01-27;18.5;18.5;18.5;1;3.2142857142857144;5.7555555555555555
38;1979-02-09;1979-02-11;13.56;10.846666666666666;32.54;3;3.6714285714285713;3.6933852140077823
39;1979-03-25;1979-03-26;15.72;11.850000000000001;23.700000000000003;2;3.374285714285715;4.658763759525825
40;1979-04-09;1979-04-10;24.2;17.6;35.2;2;5.9799999999999995;4.046822742474917
41;1979-10-09;1979-10-23;47.0;12.629333333333333;189.44;15;0.40285714285714286;116.66666666666667
42;1980-07-01;1980-09-28;1.82;1.82;163.8;90;1.82;1.0
43;1981-07-01;1981-08-31;1.82;1.2180645161290322;75.52;62;1.9571428571428573;0.92992700729927
44;1981-09-04;1981-09-04;0.78;0.78;0.78;1;0.6942857142857143;1.123456790123457
45;1981-09-25;1981-09-30;1.5;1.42;8.52;6;0.54;2.7777777777777777
46;1982-08-01;1982-08-31;0.675;0.675;20.925;31;0.6749999999999999;1.0000000000000002
47;1982-09-25;1982-09-30;13.0;4.963333333333334;29.78;6;0.6749999999999999;19.25925925925926
48;1982-11-07;1982-11-10;32.9;16.875;67.5;4;1.9057142857142857;17.263868065967017
49;1983-05-01;1983-05-01;10.0;10.0;10.0;1;5.9399999999999995;1.6835016835016836
