anio_hidro;RBI
1973;0.19595264368676008
1974;0.2711444608913575
1975;0.08161863824808606
1976;0.05858463112788206
1977;0.17038254872082764
1978;0.23008963693815696
1979;0.28820022469514445
1980;0.13715478199094217
1981;0.050362223967879906
1982;0.1200924780902199
1983;0.19559432659721349
1984;0.13391992960844695
1985;0.14063714063714064
1986;0.11466840206887165
1987;0.17518819494003085
1990;0.2565614490404405
1991;0.46571476783197346
1992;0.593758065390663
1993;0.4673769564397512
1994;0.553340114240163
1995;0.3585480400820627
1996;0.40440157408625105
1997;0.385123557598571
1998;0.5203387427207964
1999;0.44594139440889186
2000;0.5662969225093412
2001;0.6424793124464276
2002;0.38339539283150664
2003;0.4122196899061941
2004;0.30099130528409995
2005;0.47775731653131903
2006;0.4246073114004647
2007;0.46645952820241604
2008;0.30360014642075833
2009;0.12308312183713734
2010;0.2988337942234627
2011;0.29724832132192136
2012;0.44975890597868007
2013;0.3509246354050459
2014;0.4446984575567274
2015;0.46350099400458716
2016;0.3192266037319629
2017;0.3403380242558535
2018;0.3543618720644684
2019;0.31307879772542646
2020;0.2960272536316332
2021;0.31927392319894204
