anio_hidro;estacion;RBI
1973;Otoño;0.11637931034482758
1973;Primavera;0.2158664216665335
1973;Verano;0.14451203727672793
1974;Invierno;0.19523783909777134
1974;Otoño;0.6076810889645115
1974;Primavera;0.16
1974;Verano;0.4078578513822399
1975;Invierno;0.047567673597489216
1975;Otoño;0.34378182641167804
1975;Primavera;0.06935116053856488
1975;Verano;0.017822237553179267
1976;Invierno;0.0638893462868434
1976;Otoño;0.18259629101283878
1976;Primavera;0.04194581998252257
1976;Verano;0.022038567493112952
1977;Invierno;0.2809033280507133
1977;Otoño;0.2842656198887799
1977;Primavera;0.025768667642752565
1977;Verano;0.04251469923111716
1978;Invierno;0.29955676971538486
1978;Otoño;0.28569312796208524
1978;Primavera;0.11389405373874371
1978;Verano;0.12345679012345681
1979;Invierno;0.3949061702222952
1979;Otoño;0.28530534351145037
1979;Primavera;0.1619326885202854
1979;Verano;0.04852071005917159
1980;Invierno;0.00764726968574501
1980;Otoño;0.3135050915363641
1980;Primavera;0.04547300040600891
1980;Verano;0.0027112516945323084
1981;Invierno;0.022978347326557673
1981;Otoño;0.09910246821241588
1981;Primavera;0.04104368220463207
1981;Verano;0.03152138951431329
1982;Invierno;0.11179215076388255
1982;Otoño;0.2333733287624271
1982;Primavera;0.05399523266659757
1982;Verano;0.015903229767898805
1983;Invierno;0.049749016849442086
1983;Otoño;0.2711348057882711
1983;Primavera;0.29393716942420994
1983;Verano;0.034981231531027876
1984;Invierno;0.09371326031804962
1984;Otoño;0.3051105638630075
1984;Primavera;0.08893135849657591
1984;Verano;0.05278270416349971
1985;Invierno;0.16897163120567374
1985;Otoño;0.183368699203267
1985;Primavera;0.11158798283261805
1985;Verano;0.025028731962712297
1986;Invierno;0.13902315888974817
1986;Otoño;0.30595478360141065
1986;Primavera;0.07380355462555359
1986;Verano;0.02107432041642568
1987;Invierno;0.11101261361330363
1987;Otoño;0.5972694910612995
1987;Primavera;0.1178108860827948
1987;Verano;0.02450916936353829
1990;Invierno;0.2695853826081564
1990;Otoño;0.43372135998328837
1990;Primavera;0.11236874625118339
1990;Verano;0.06376448733998304
1991;Invierno;0.2726134029305531
1991;Otoño;0.8134219529121864
1991;Primavera;0.3217565656384827
1991;Verano;0.09850874677373103
1992;Invierno;0.6017144975197357
1992;Otoño;0.4641389615240941
1992;Primavera;0.7010560971438345
1992;Verano;0.13187951807228915
1993;Invierno;0.17919777085353344
1993;Otoño;0.7388669098442854
1993;Primavera;0.540233765290936
1993;Verano;0.11619241192411925
1994;Invierno;0.3655171400011759
1994;Otoño;0.7505605915334637
1994;Primavera;0.44305580527510885
1994;Verano;0.07845349101660225
1995;Invierno;0.4935647203785581
1995;Otoño;0.43186562644722304
1995;Primavera;0.08836721728081322
1995;Verano;0.03459119496855345
1996;Invierno;0.5199347047238385
1996;Otoño;0.25405593432586626
1996;Primavera;0.2766133956303592
1996;Verano;0.06816118637607847
1997;Invierno;0.40141220253581367
1997;Otoño;0.42992657748008034
1997;Primavera;0.2635194278604036
1997;Verano;0.4169470673592565
1998;Invierno;0.47140401909528856
1998;Otoño;0.6720925756926727
1998;Primavera;0.3891966283454744
1998;Verano;0.27053642559971675
1999;Invierno;0.2764905644155956
1999;Otoño;0.8868204296150233
1999;Primavera;0.28465433320958633
1999;Verano;0.3269746076304708
2000;Invierno;0.14075512530674544
2000;Otoño;0.770691524522352
2000;Primavera;0.4616732140502597
2000;Verano;0.05223305055037512
2001;Invierno;0.6800968922796349
2001;Otoño;0.41808410040338495
2001;Primavera;0.6318607374282734
2001;Verano;0.05662929191571051
2002;Invierno;0.4108703960254144
2002;Otoño;0.6598178394476424
2002;Primavera;0.19762892995591522
