anio_hidro;mes;Qmax_inst;Qmd_max;fecha;RI;clase_RI;clase_magnitud
1973;5;;;1973-05-04;;;
1973;6;;8.14;1973-06-01;;;
1973;7;;2.37;1973-07-01;;;
1973;8;;0.45;1973-08-01;;;
1973;9;;0.2;1973-09-01;;;
1974;1;48.95;32.42;1974-01-01;1.5098704503392968;Rápida;Notable
1974;2;42.68;11.9;1974-02-01;3.586554621848739;Flash flood;Notable
1974;3;21.02;14.18;1974-03-01;1.4823695345557122;Moderada;Notable
1974;4;4.4;4.4;1974-04-01;1.0;Progresiva;Ordinario
1974;5;44.96;17.6;1974-05-01;2.5545454545454542;Flash flood;Notable
1974;6;63.2;44.96;1974-06-01;1.405693950177936;Moderada;Significativo
1974;7;4.04;3.5;1974-07-01;1.1542857142857144;Progresiva;Ordinario
1974;8;0.09;0.09;1974-08-01;1.0;Progresiva;Ordinario
1974;9;0.09;0.09;1974-09-01;1.0;Progresiva;Ordinario
1974;10;11.9;1.05;1973-10-01;;;Notable
1974;11;79.16;47.24;1973-11-01;1.6756985605419135;Rápida;Significativo
1974;12;23.3;9.08;1973-12-01;2.566079295154185;Flash flood;Notable
1975;1;16.95;5.3;1975-01-01;3.19811320754717;Flash flood;Notable
1975;2;6.9;3.22;1975-02-01;2.142857142857143;Flash flood;Notable
1975;3;13.1;4.74;1975-03-01;2.763713080168776;Flash flood;Notable
1975;4;3.96;3.96;1975-04-01;1.0;Progresiva;Ordinario
1975;5;27.8;8.5;1975-05-01;3.2705882352941176;Flash flood;Notable
1975;6;3.7;3.7;1975-06-01;1.0;Progresiva;Ordinario
1975;7;2.06;2.06;1975-07-01;1.0;Progresiva;Ordinario
1975;8;1.4;1.4;1975-08-01;1.0;Progresiva;Ordinario
1975;9;0.6;0.6;1975-09-01;1.0;Progresiva;Ordinario
1975;10;0.8;0.8;1974-10-01;1.0;Progresiva;Ordinario
1975;11;14.75;14.75;1974-11-01;1.0;Progresiva;Notable
1975;12;39.8;2.28;1974-12-01;;;Notable
1976;1;0.54;0.54;1976-01-01;1.0;Progresiva;Ordinario
1976;2;7.98;4.7;1976-02-01;1.697872340425532;Rápida;Notable
1976;3;3.74;3.74;1976-03-01;1.0;Progresiva;Ordinario
1976;4;4.06;4.06;1976-04-01;1.0;Progresiva;Ordinario
1976;5;3.74;3.74;1976-05-01;1.0;Progresiva;Ordinario
1976;6;2.46;2.46;1976-06-01;1.0;Progresiva;Ordinario
1976;7;1.5;1.5;1976-07-01;1.0;Progresiva;Ordinario
1976;8;1.5;1.5;1976-08-01;1.0;Progresiva;Ordinario
1976;9;40.4;8.66;1976-09-01;4.665127020785219;Flash flood;Notable
1976;10;0.3;0.3;1975-10-01;1.0;Progresiva;Ordinario
1976;11;0.54;0.54;1975-11-01;1.0;Progresiva;Ordinario
1976;12;0.78;0.78;1975-12-01;1.0;Progresiva;Ordinario
