anio_hidro;Qmin;Qmed_anual;CE
1975;0.27;0.55;0.4909090909090909
1976;0.29;0.55;0.5272727272727272
1977;0.35;2.12;0.1650943396226415
1978;0.4;2.85;0.14035087719298245
1979;0.34;2.63;0.12927756653992398
1980;0.53;3.54;0.1497175141242938
1981;0.802;3.23;0.24829721362229104
1982;0.676;3.2;0.21125
1983;0.224;3.1;0.07225806451612903
1984;0.752;2.96;0.25405405405405407
1985;1.186;2.88;0.41180555555555554
1986;0.858;3.12;0.27499999999999997
1987;0.766;2.64;0.29015151515151516
1990;0.559;8.63;0.06477404403244497
1991;0.644;2.41;0.2672199170124481
1992;0.735;2.34;0.3141025641025641
1993;0.864;1.72;0.5023255813953489
1994;0.829;2.36;0.35127118644067795
1995;0.072;2.89;0.024913494809688578
1996;0.032;4.48;0.007142857142857143
1997;0.086;8.15;0.010552147239263803
1998;0.922;6.2;0.14870967741935484
1999;0.119;3.24;0.03672839506172839
2000;0.322;2.75;0.11709090909090909
2001;0.235;4.03;0.05831265508684863
2002;0.0;8.04;0.0
2003;0.01;3.47;0.002881844380403458
2004;0.115;4.8;0.023958333333333335
2005;0.01;1.75;0.005714285714285714
2006;0.0;1.12;0.0
2007;0.187;3.53;0.05297450424929179
2008;0.125;2.15;0.05813953488372093
2009;0.117;2.77;0.042238267148014444
2010;0.117;2.25;0.052000000000000005
2011;0.03;4.9;0.006122448979591836
2012;0.065;4.06;0.01600985221674877
2013;0.082;1.95;0.04205128205128206
2014;0.139;3.91;0.03554987212276215
2015;0.074;4.9;0.01510204081632653
2016;0.011;1.8;0.0061111111111111106
2017;0.001;4.07;0.0002457002457002457
2018;0.054;1.59;0.033962264150943396
2019;0.092;3.33;0.027627627627627625
2020;0.033;2.1;0.015714285714285715
2021;0.12;2.3;0.052173913043478265
