anio_hidro;Qmax_inst;Qmed_anual;CT
1975;;0.55;
1976;14.0;0.55;25.454545454545453
1977;34.02;2.12;16.047169811320757
1978;22.58;2.85;7.9228070175438585
1979;26.98;2.63;10.258555133079849
1980;17.518;3.54;4.948587570621469
1981;20.38;3.23;6.309597523219814
1982;12.79;3.2;3.9968749999999997
1983;12.238;3.1;3.9477419354838705
1984;12.21;2.96;4.125
1985;;2.88;
1986;19.424;3.12;6.225641025641025
1987;113.32;2.64;42.92424242424242
1990;21.645;8.63;2.5081112398609497
1991;250.0;2.41;103.7344398340249
1992;63.93;2.34;27.32051282051282
1993;85.831;1.72;49.901744186046514
1994;8.533;2.36;3.615677966101695
1995;156.846;2.89;54.2719723183391
1996;272.288;4.48;60.778571428571425
1997;282.646;8.15;34.680490797546014
1998;328.061;6.2;52.913064516129026
1999;177.705;3.24;54.84722222222222
2000;598.566;2.75;217.66036363636366
2001;652.137;4.03;161.82059553349873
2002;182.827;8.04;22.739676616915425
2003;141.984;3.47;40.917579250720465
2004;170.738;4.8;35.57041666666667
2005;272.284;1.75;155.59085714285715
2006;201.842;1.12;180.2160714285714
2007;132.548;3.53;37.549008498583575
2008;185.884;2.15;86.45767441860465
2009;34.314;2.77;12.387725631768953
2010;276.288;2.25;122.79466666666667
2011;129.144;4.9;26.355918367346938
2012;86.505;4.06;21.30665024630542
2013;113.036;1.95;57.967179487179486
2014;110.837;3.91;28.347058823529412
2015;150.242;4.9;30.661632653061222
2016;190.681;1.8;105.93388888888889
2017;56.328;4.07;13.83980343980344
2018;120.3;1.59;75.66037735849056
2019;44.907;3.33;13.485585585585584
2020;193.534;2.1;92.15904761904761
2021;143.173;2.3;62.249130434782614
